file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,classes,fit_sec,note
qp_modality_sae_layer12.parquet,palmer_quirk_pair,1.0,2000,0.0001,balanced,478,4362,32763,8,0.9790575916230366,0.84375,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,13.3247709274292,
qp_modality_sae_layer13.parquet,modal_verb,1.0,1000,0.001,none,4840,0,32768,10,0.9992252066115702,1.0,can|could|may|might|must|ought to|shall|should|will|would,26.07840394973755,
qp_modality_sae_layer13.parquet,modal_verb,1.0,1000,0.001,balanced,4840,0,32768,10,0.9992252066115702,1.0,can|could|may|might|must|ought to|shall|should|will|would,26.038908004760742,
qp_modality_sae_layer13.parquet,modal_verb,1.0,2000,0.0001,none,4840,0,32768,10,0.99974173553719,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,149.33577680587769,
qp_modality_sae_layer13.parquet,modal_verb,1.0,2000,0.0001,balanced,4840,0,32768,10,0.99974173553719,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,149.03749775886536,
qp_modality_sae_layer13.parquet,palmer_expected,1.0,1000,0.001,none,484,4356,32768,3,0.9509043927648578,0.8865979381443299,deontic|dynamic|epistemic,1.4484338760375977,
qp_modality_sae_layer13.parquet,palmer_expected,1.0,1000,0.001,balanced,484,4356,32768,3,0.9457364341085271,0.8865979381443299,deontic|dynamic|epistemic,1.3995897769927979,
qp_modality_sae_layer13.parquet,palmer_expected,1.0,2000,0.0001,none,484,4356,32768,3,0.958656330749354,0.9175257731958762,deontic|dynamic|epistemic,7.402085542678833,
qp_modality_sae_layer13.parquet,palmer_expected,1.0,2000,0.0001,balanced,484,4356,32768,3,0.937984496124031,0.8969072164948454,deontic|dynamic|epistemic,7.471660137176514,
qp_modality_sae_layer13.parquet,quirk_expected,1.0,1000,0.001,none,481,4359,32768,6,0.9635416666666666,0.8865979381443299,ability|necessity|obligation|possibility|prediction|volition,2.478762149810791,
qp_modality_sae_layer13.parquet,quirk_expected,1.0,1000,0.001,balanced,481,4359,32768,6,0.9713541666666666,0.9278350515463918,ability|necessity|obligation|possibility|prediction|volition,2.587441921234131,
qp_modality_sae_layer13.parquet,quirk_expected,1.0,2000,0.0001,none,481,4359,32768,6,0.9635416666666666,0.9072164948453608,ability|necessity|obligation|possibility|prediction|volition,11.239460468292236,
qp_modality_sae_layer13.parquet,quirk_expected,1.0,2000,0.0001,balanced,481,4359,32768,6,0.9713541666666666,0.9175257731958762,ability|necessity|obligation|possibility|prediction|volition,11.249709606170654,
qp_modality_sae_layer13.parquet,palmer_quirk_pair,1.0,1000,0.001,none,478,4362,32768,8,0.93717277486911,0.8541666666666666,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,2.744088888168335,
qp_modality_sae_layer13.parquet,palmer_quirk_pair,1.0,1000,0.001,balanced,478,4362,32768,8,0.9685863874345549,0.875,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,2.93802547454834,
qp_modality_sae_layer13.parquet,palmer_quirk_pair,1.0,2000,0.0001,none,478,4362,32768,8,0.9476439790575916,0.8645833333333334,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,13.354544878005981,
qp_modality_sae_layer13.parquet,palmer_quirk_pair,1.0,2000,0.0001,balanced,478,4362,32768,8,0.9685863874345549,0.8541666666666666,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,13.777082681655884,
