file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,nnz_features,fit_sec,note
qp_tense_sae_layer10.parquet,aspect,0.25,5000,0.0001,none,1411,0,32768,2,0.9946808510638298,1.0,6,0.7626731395721436,
qp_tense_sae_layer10.parquet,aspect,0.5,1000,0.0001,none,1411,0,32768,2,0.999113475177305,1.0,8,1.5078554153442383,
qp_tense_sae_layer10.parquet,aspect,0.5,2000,0.0001,none,1411,0,32768,2,0.999113475177305,1.0,8,1.5423734188079834,
qp_tense_sae_layer10.parquet,aspect,0.5,3000,0.0001,none,1411,0,32768,2,0.999113475177305,1.0,8,1.5051720142364502,
qp_tense_sae_layer10.parquet,aspect,0.5,4000,0.0001,none,1411,0,32768,2,0.999113475177305,1.0,8,1.5379602909088135,
qp_tense_sae_layer10.parquet,aspect,0.5,5000,0.0001,none,1411,0,32768,2,0.999113475177305,1.0,8,1.5037529468536377,
qp_tense_sae_layer10.parquet,aspect,1.0,1000,0.0001,none,1411,0,32768,2,0.999113475177305,1.0,8,2.185924768447876,
qp_tense_sae_layer10.parquet,aspect,1.0,2000,0.0001,none,1411,0,32768,2,0.999113475177305,1.0,8,2.2049057483673096,
qp_tense_sae_layer10.parquet,aspect,1.0,3000,0.0001,none,1411,0,32768,2,0.999113475177305,1.0,8,2.176490068435669,
qp_tense_sae_layer10.parquet,aspect,1.0,4000,0.0001,none,1411,0,32768,2,0.999113475177305,1.0,8,2.169712543487549,
qp_tense_sae_layer10.parquet,aspect,1.0,5000,0.0001,none,1411,0,32768,2,0.999113475177305,1.0,8,2.208564519882202,
qp_tense_sae_layer11.parquet,tense,0.25,1000,0.0001,none,1411,0,32767,7,0.9840425531914894,0.9858657243816255,13,1.5489816665649414,
qp_tense_sae_layer11.parquet,tense,0.25,2000,0.0001,none,1411,0,32767,7,0.9840425531914894,0.9858657243816255,13,1.567786455154419,
qp_tense_sae_layer11.parquet,tense,0.25,3000,0.0001,none,1411,0,32767,7,0.9840425531914894,0.9858657243816255,13,1.560924768447876,
qp_tense_sae_layer11.parquet,tense,0.25,4000,0.0001,none,1411,0,32767,7,0.9840425531914894,0.9858657243816255,13,1.5490691661834717,
qp_tense_sae_layer11.parquet,tense,0.25,5000,0.0001,none,1411,0,32767,7,0.9840425531914894,0.9858657243816255,13,1.5433523654937744,
qp_tense_sae_layer11.parquet,tense,0.5,1000,0.0001,none,1411,0,32767,7,0.9875886524822695,0.9858657243816255,15,2.1699650287628174,
qp_tense_sae_layer11.parquet,tense,0.5,2000,0.0001,none,1411,0,32767,7,0.9875886524822695,0.9858657243816255,15,2.097536087036133,
qp_tense_sae_layer11.parquet,tense,0.5,3000,0.0001,none,1411,0,32767,7,0.9875886524822695,0.9858657243816255,15,2.174487352371216,
qp_tense_sae_layer11.parquet,tense,0.5,4000,0.0001,none,1411,0,32767,7,0.9875886524822695,0.9858657243816255,15,2.1078038215637207,
qp_tense_sae_layer11.parquet,tense,0.5,5000,0.0001,none,1411,0,32767,7,0.9875886524822695,0.9858657243816255,15,2.134145498275757,
qp_tense_sae_layer11.parquet,tense,1.0,1000,0.0001,none,1411,0,32767,7,0.9964539007092199,0.9893992932862191,17,3.06024169921875,
qp_tense_sae_layer11.parquet,tense,1.0,2000,0.0001,none,1411,0,32767,7,0.9964539007092199,0.9893992932862191,17,3.0101475715637207,
qp_tense_sae_layer11.parquet,tense,1.0,3000,0.0001,none,1411,0,32767,7,0.9964539007092199,0.9893992932862191,17,3.0410256385803223,
qp_tense_sae_layer11.parquet,tense,1.0,4000,0.0001,none,1411,0,32767,7,0.9964539007092199,0.9893992932862191,17,2.999699831008911,
qp_tense_sae_layer11.parquet,tense,1.0,5000,0.0001,none,1411,0,32767,7,0.9964539007092199,0.9893992932862191,17,3.0280416011810303,
qp_tense_sae_layer11.parquet,aspect,0.25,1000,0.0001,none,1411,0,32767,2,0.9902482269503546,0.9964664310954063,6,0.9121873378753662,
qp_tense_sae_layer11.parquet,aspect,0.25,2000,0.0001,none,1411,0,32767,2,0.9902482269503546,0.9964664310954063,6,0.8986670970916748,
qp_tense_sae_layer11.parquet,aspect,0.25,3000,0.0001,none,1411,0,32767,2,0.9902482269503546,0.9964664310954063,6,0.8955678939819336,
qp_tense_sae_layer11.parquet,aspect,0.25,4000,0.0001,none,1411,0,32767,2,0.9902482269503546,0.9964664310954063,6,0.9156782627105713,
