file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,nnz_features,fit_sec,note
qp_TEA_sae_layer11.parquet,entailment,1.0,2000,0.0001,none,11138,0,32767,2,0.8759820426487093,0.8429084380610413,359,55.54998564720154,
qp_TEA_sae_layer11.parquet,entailment,1.0,3000,0.0001,none,11138,0,32767,2,0.8759820426487093,0.8429084380610413,359,55.557485818862915,
qp_TEA_sae_layer11.parquet,entailment,1.0,4000,0.0001,none,11138,0,32767,2,0.8759820426487093,0.8429084380610413,359,55.59380006790161,
qp_TEA_sae_layer11.parquet,entailment,1.0,5000,0.0001,none,11138,0,32767,2,0.8759820426487093,0.8429084380610413,359,55.667693853378296,
qp_TEA_sae_layer12.parquet,entailment,0.25,1000,0.0001,none,11138,0,32764,2,0.8194163860830528,0.8200179533213644,104,10.913825988769531,
qp_TEA_sae_layer12.parquet,entailment,0.25,2000,0.0001,none,11138,0,32764,2,0.8194163860830528,0.8200179533213644,104,11.080015897750854,
qp_TEA_sae_layer12.parquet,entailment,0.25,3000,0.0001,none,11138,0,32764,2,0.8194163860830528,0.8200179533213644,104,10.964178800582886,
qp_TEA_sae_layer12.parquet,entailment,0.25,4000,0.0001,none,11138,0,32764,2,0.8194163860830528,0.8200179533213644,104,10.931925773620605,
qp_TEA_sae_layer12.parquet,entailment,0.25,5000,0.0001,none,11138,0,32764,2,0.8194163860830528,0.8200179533213644,104,11.044428825378418,
qp_TEA_sae_layer12.parquet,entailment,0.5,1000,0.0001,none,11138,0,32764,2,0.8483726150392817,0.8415619389587073,197,22.703020095825195,
qp_TEA_sae_layer12.parquet,entailment,0.5,2000,0.0001,none,11138,0,32764,2,0.8483726150392817,0.8415619389587073,197,22.894557237625122,
qp_TEA_sae_layer12.parquet,entailment,0.5,3000,0.0001,none,11138,0,32764,2,0.8483726150392817,0.8415619389587073,197,22.829243421554565,
qp_TEA_sae_layer12.parquet,entailment,0.5,4000,0.0001,none,11138,0,32764,2,0.8483726150392817,0.8415619389587073,197,22.695908546447754,
qp_TEA_sae_layer12.parquet,entailment,0.5,5000,0.0001,none,11138,0,32764,2,0.8483726150392817,0.8415619389587073,197,22.850489377975464,
qp_TEA_sae_layer12.parquet,entailment,1.0,1000,0.0001,none,11138,0,32764,2,0.8759820426487093,0.8536804308797128,326,37.78671479225159,
qp_TEA_sae_layer12.parquet,entailment,1.0,2000,0.0001,none,11138,0,32764,2,0.8759820426487093,0.8536804308797128,326,37.789921045303345,
qp_TEA_sae_layer12.parquet,entailment,1.0,3000,0.0001,none,11138,0,32764,2,0.8759820426487093,0.8536804308797128,326,37.78390192985535,
qp_TEA_sae_layer12.parquet,entailment,1.0,4000,0.0001,none,11138,0,32764,2,0.8759820426487093,0.8536804308797128,326,37.77680945396423,
qp_TEA_sae_layer12.parquet,entailment,1.0,5000,0.0001,none,11138,0,32764,2,0.8760942760942761,0.8536804308797128,326,38.08791160583496,
qp_TEA_sae_layer13.parquet,entailment,0.25,1000,0.0001,none,11138,0,32768,2,0.827384960718294,0.8213644524236984,104,10.957141876220703,
